city::multi-filter,ms,all_customers,all_customers_ms,per_conversion
BOG,other,4965,2423,48.80161127895267
BOG,panaderiapasteleria,4327,2679,61.913565981049224
BOG,empanadasarepas,1600,708,44.25
SPO,other,8064,3603,44.680059523809526
CMX,taqueria,2836,1122,39.56276445698166
CMX,cafeteria,1095,479,43.74429223744292
MDE,other,3201,1389,43.39268978444236
BAQ,other,1060,588,55.471698113207545
BAQ,tiendarestaurante,21,12,57.14285714285714
BOG,comidaespecializada,1209,602,49.79321753515302
VCP,other,1862,613,32.921589688506984
BAQ,comidarapida,613,306,49.9184339314845
BAQ,fritos,520,282,54.23076923076923
SPO,pratododia,7106,3849,54.16549394877568
CMX,jugueriacomidasaludable,1741,750,43.0786904078116
BAQ,corrientazo,1508,771,51.12732095490716
CWB,other,3264,1320,40.44117647058823
BOG,comidarapida,2187,984,44.99314128943759
BAQ,comidademarycolombiana,69,27,39.130434782608695
CMX,other,6389,2485,38.89497573955236
BAQ,panaderiapasteleriacafeteria,717,473,65.96931659693166
SPO,pizzacomidaitaliana,328,170,51.829268292682926
BOG,corrientazo,5972,3148,52.71265907568654
BHZ,other,7687,3356,43.658124105632886
SPO,padariacafeteriabolos,2918,1558,53.39273474982865
BOG,cafeteria,1351,687,50.85122131754256
SPO,comidainternacionalgrill,608,306,50.328947368421055
SPO,comidabrasileiraysaudavel,1888,1196,63.347457627118644
PBC,other,4896,1192,24.34640522875817
GDL,other,5391,2293,42.53385271749212
CMX,panaderiapasteleria,1367,553,40.45354791514265
BOG,parrillaasadero,1393,662,47.523330940416365
SPO,lanches,4152,2128,51.252408477842
CMX,fonda,5268,2297,43.60288534548216
BAQ,parrillaasadero,92,37,40.21739130434783
SPO,sucosacai,527,242,45.920303605313094
CMX,comidarapida,1783,706,39.5961862030286
BAQ,comidaespecializada,148,76,51.351351351351354
SPO,comidaporquilo,1925,1157,60.103896103896105
CMX,comidaespecializada,877,333,37.97035347776511
