bweek,week,business_type,customer_id
2,2,1.0,1000
2,2,2.0,13
2,2,3.0,32
2,2,4.0,3
2,2,8.0,10
2,3,1.0,392
2,3,2.0,5
2,3,3.0,7
2,3,4.0,2
2,3,8.0,2
2,4,1.0,382
2,4,2.0,7
2,4,3.0,6
2,4,4.0,2
2,4,8.0,2
2,5,1.0,418
2,5,2.0,4
2,5,3.0,6
2,5,4.0,1
2,6,1.0,410
2,6,2.0,5
2,6,3.0,7
2,6,4.0,2
2,6,8.0,1
3,3,1.0,869
3,3,2.0,15
3,3,3.0,20
3,3,4.0,2
3,3,8.0,13
3,4,1.0,190
3,4,3.0,1
3,4,8.0,2
3,5,1.0,313
3,5,2.0,1
3,5,3.0,2
3,5,8.0,3
3,6,1.0,287
3,6,2.0,1
3,6,3.0,4
3,6,8.0,1
4,4,1.0,558
4,4,2.0,7
4,4,3.0,8
4,4,8.0,11
4,5,1.0,132
4,5,2.0,2
4,5,8.0,1
4,6,1.0,153
4,6,3.0,1
4,6,8.0,1
5,5,1.0,492
5,5,2.0,5
5,5,3.0,16
5,5,4.0,2
5,5,7.0,1
5,5,8.0,2
5,6,1.0,99
5,6,3.0,2
6,6,1.0,434
6,6,2.0,7
6,6,3.0,8
6,6,7.0,1
6,6,8.0,6
