20220420_GDL_NB_enlatados_W16,20220420_GDL_NB_tuberculos_W16,20220420_GDL_NB_verduras_W16,20220420_GDL_NB_frutas_W16,20220420_GDL_NB_alimentoscongelados_W16,20220420_GDL_NB_leches_W16,20220420_GDL_NB_huevos_W16,20220420_GDL_NB_vasoscontenedoresyplatos_W16,20220420_GDL_NB_detergentejabonylavatrastes_W16,20220420_GDL_NB_papelytoallas_W16
143666694.0,143666694.0,143666694.0,142532993.0,143666694.0,143666694.0,143666694.0,143666694.0,143666694.0,143666694.0
142369809.0,139816463.0,142369809.0,145532163.0,139816463.0,139816463.0,139816463.0,130946068.0,139816463.0,139816463.0
81429011.0,142369809.0,81429011.0,143002499.0,142369809.0,142369809.0,142369809.0,145480213.0,142369809.0,142369809.0
130946068.0,140416529.0,130946068.0,146225925.0,140416529.0,140416529.0,140416529.0,125518869.0,81429011.0,81429011.0
142496275.0,81429011.0,97983509.0,143595911.0,81429011.0,81429011.0,81429011.0,124517910.0,130946068.0,130946068.0
97983509.0,130946068.0,134615070.0,142549768.0,130946068.0,130946068.0,130946068.0,134031389.0,142496275.0,124517910.0
139733016.0,142496275.0,139906080.0,145362824.0,142496275.0,139733016.0,142496275.0,134615070.0,125518869.0,97983509.0
145480213.0,124517910.0,128548908.0,142336139.0,124517910.0,125518869.0,124517910.0,141899818.0,145480213.0,139733016.0
134031389.0,97983509.0,143184940.0,108174606.0,97983509.0,145480213.0,97983509.0,128548908.0,134031389.0,125518869.0
134615070.0,139733016.0,143640113.0,126396176.0,139733016.0,134031389.0,139733016.0,142408236.0,134615070.0,145480213.0
139906080.0,125518869.0,140353074.0,142369809.0,125518869.0,134615070.0,125518869.0,143184940.0,139906080.0,134031389.0
142400037.0,134615070.0,139806258.0,139423505.0,145480213.0,139906080.0,145480213.0,140396077.0,141899818.0,134615070.0
141899818.0,142400037.0,97428543.0,129528081.0,134031389.0,142400037.0,134031389.0,88688176.0,128548908.0,128548908.0
128548908.0,141899818.0,141857872.0,131703059.0,134615070.0,141899818.0,134615070.0,139356721.0,140396077.0,142408236.0
88688176.0,128548908.0,131182673.0,145226000.0,139906080.0,128548908.0,139906080.0,140353074.0,88688176.0,143184940.0
139356721.0,143184940.0,142981719.0,142367002.0,142400037.0,143184940.0,142400037.0,139806258.0,139356721.0,140396077.0
139806258.0,88688176.0,140417120.0,143027610.0,141899818.0,140396077.0,141899818.0,143640113.0,140353074.0,88688176.0
143640113.0,139356721.0,123288163.0,134515356.0,128548908.0,88688176.0,128548908.0,97428543.0,139806258.0,140353074.0
97428543.0,140353074.0,141884516.0,64781213.0,142408236.0,139356721.0,142408236.0,106843725.0,143640113.0,139806258.0
106843725.0,139806258.0,138073703.0,139906080.0,143184940.0,140353074.0,143184940.0,131182673.0,97428543.0,143640113.0
141857872.0,143640113.0,142441579.0,146076832.0,140396077.0,139806258.0,140396077.0,142981719.0,106843725.0,97428543.0
131182673.0,97428543.0,142723181.0,69021608.0,88688176.0,143640113.0,88688176.0,129576024.0,141857872.0,106843725.0
143576149.0,106843725.0,137714290.0,121521577.0,139356721.0,97428543.0,139356721.0,140417120.0,131182673.0,131182673.0
142981719.0,141857872.0,143172215.0,128548908.0,140353074.0,106843725.0,140353074.0,123288163.0,142981719.0,143576149.0
129576024.0,143576149.0,145333374.0,140275884.0,139806258.0,141857872.0,139806258.0,141884516.0,129576024.0,129576024.0
140417120.0,142981719.0,146238094.0,142515373.0,143640113.0,131182673.0,143640113.0,140317796.0,140417120.0,140417120.0
123288163.0,129576024.0,134515356.0,145454253.0,97428543.0,142981719.0,97428543.0,138073703.0,123288163.0,123288163.0
141884516.0,140417120.0,140275884.0,126982322.0,106843725.0,129576024.0,106843725.0,139475048.0,139475048.0,141884516.0
140317796.0,123288163.0,142515373.0,145290163.0,141857872.0,140417120.0,141857872.0,142723181.0,142490730.0,140317796.0
138073703.0,141884516.0,145454253.0,143676598.0,131182673.0,123288163.0,131182673.0,143172215.0,142441579.0,139475048.0
139475048.0,140317796.0,143676598.0,108117178.0,143576149.0,141884516.0,143576149.0,142483065.0,142723181.0,142441579.0
142490730.0,138073703.0,108117178.0,69067066.0,142981719.0,138073703.0,142981719.0,145333374.0,143172215.0,142723181.0
142441579.0,139475048.0,142265026.0,145279804.0,129576024.0,139475048.0,129576024.0,140870791.0,145333374.0,143172215.0
142723181.0,142441579.0,141838532.0,97428543.0,140417120.0,142490730.0,140417120.0,140299912.0,146163334.0,142483065.0
137714290.0,142723181.0,139755208.0,145212355.0,123288163.0,142441579.0,123288163.0,146238094.0,140870791.0,145333374.0
143172215.0,137714290.0,137970896.0,124354379.0,141884516.0,142723181.0,140317796.0,142425231.0,142336139.0,146163334.0
142483065.0,143172215.0,130904787.0,62466892.0,140317796.0,137714290.0,138073703.0,140373146.0,139738254.0,140870791.0
145333374.0,142483065.0,110423253.0,142431694.0,138073703.0,143172215.0,139475048.0,134515356.0,140373146.0,140944011.0
146163334.0,145333374.0,63999202.0,135211471.0,139475048.0,142483065.0,142490730.0,142352028.0,134515356.0,139738254.0
140870791.0,146163334.0,89097954.0,137970896.0,142490730.0,145333374.0,142441579.0,146076832.0,142352028.0,142425231.0
140299912.0,140944011.0,140440810.0,139350481.0,142441579.0,146163334.0,142723181.0,145454253.0,142515373.0,146238094.0
140944011.0,146238094.0,63298797.0,132753362.0,142723181.0,140870791.0,137714290.0,126982322.0,145454253.0,140373146.0
142336139.0,140373146.0,120915702.0,143576149.0,137714290.0,140299912.0,143172215.0,140511415.0,126982322.0,134515356.0
139738254.0,134515356.0,142549768.0,142542550.0,143172215.0,140944011.0,142483065.0,128532663.0,143542451.0,142352028.0
142425231.0,140275884.0,126396176.0,142981719.0,142483065.0,142336139.0,145333374.0,140308154.0,143676598.0,146076832.0
146238094.0,142515373.0,139423505.0,129576024.0,145333374.0,139738254.0,146163334.0,108117178.0,140511415.0,140275884.0
140373146.0,145454253.0,129528081.0,146078549.0,146163334.0,142425231.0,140870791.0,141651135.0,108117178.0,142515373.0
134515356.0,126982322.0,142367002.0,65088218.0,140870791.0,146238094.0,140299912.0,141701319.0,73913548.0,145454253.0
142352028.0,143676598.0,143205149.0,127302618.0,140299912.0,134515356.0,140944011.0,139755208.0,136888526.0,126982322.0
146076832.0,128532663.0,139767084.0,143641950.0,140944011.0,142352028.0,142336139.0,73913548.0,137970896.0,143542451.0
142515373.0,140308154.0,123647286.0,63999202.0,142336139.0,146076832.0,139738254.0,136888526.0,110423253.0,143676598.0
145454253.0,108117178.0,69067066.0,89097954.0,139738254.0,145454253.0,142425231.0,137970896.0,142542550.0,140511415.0
126982322.0,141651135.0,145279804.0,141884516.0,142425231.0,126982322.0,146238094.0,130904787.0,65088218.0,128532663.0
143676598.0,142265026.0,124354379.0,143741287.0,146238094.0,143542451.0,140373146.0,110423253.0,63999202.0,108117178.0
140511415.0,141838532.0,62466892.0,142490730.0,140373146.0,143676598.0,134515356.0,142542550.0,139142885.0,140380866.0
128532663.0,141701319.0,146078549.0,142441579.0,134515356.0,140511415.0,142352028.0,65088218.0,121775337.0,142265026.0
140308154.0,139755208.0,143641950.0,140440810.0,142352028.0,108117178.0,146076832.0,63999202.0,140440810.0,141838532.0
108117178.0,137970896.0,139787633.0,142723181.0,146076832.0,141651135.0,140275884.0,89097954.0,130929385.0,141701319.0
142265026.0,130904787.0,132603762.0,63298797.0,140275884.0,140380866.0,142515373.0,139142885.0,63298797.0,73913548.0
141838532.0,142542550.0,143002499.0,67390702.0,142515373.0,142265026.0,145454253.0,121775337.0,67390702.0,136888526.0
141701319.0,65088218.0,143595911.0,121304815.0,145454253.0,141838532.0,126982322.0,140440810.0,140259567.0,137970896.0
139755208.0,63999202.0,135294350.0,143114219.0,126982322.0,141701319.0,143542451.0,130929385.0,120915702.0,130904787.0
73913548.0,89097954.0,145448340.0,132603762.0,143676598.0,139755208.0,143676598.0,63298797.0,73914103.0,110423253.0
136888526.0,121775337.0,143027610.0,146200558.0,140511415.0,136888526.0,140511415.0,67390702.0,143172856.0,142542550.0
137970896.0,140440810.0,64781213.0,71798768.0,128532663.0,137970896.0,128532663.0,140259567.0,131777275.0,65088218.0
130904787.0,130929385.0,143283103.0,73914103.0,140308154.0,130904787.0,140308154.0,120915702.0,145532163.0,63999202.0
110423253.0,63298797.0,69021608.0,139349243.0,108117178.0,110423253.0,108117178.0,143172856.0,139731205.0,89097954.0
142542550.0,121304815.0,121521577.0,145333374.0,141651135.0,142542550.0,141651135.0,139349243.0,146225925.0,140440810.0
65088218.0,140259567.0,145344431.0,,140380866.0,65088218.0,140380866.0,131777275.0,142549768.0,130929385.0
63999202.0,120915702.0,145290163.0,,142265026.0,63999202.0,142265026.0,145532163.0,108174606.0,63298797.0
89097954.0,73914103.0,132226999.0,,141838532.0,89097954.0,141701319.0,139731205.0,126396176.0,67390702.0
140440810.0,139349243.0,145212355.0,,141701319.0,140440810.0,139755208.0,146225925.0,139423505.0,121304815.0
130929385.0,131777275.0,142431694.0,,139755208.0,130929385.0,73913548.0,142549768.0,129528081.0,120915702.0
63298797.0,143051516.0,135211471.0,,73913548.0,63298797.0,136888526.0,108174606.0,131703059.0,73914103.0
67390702.0,145532163.0,132753362.0,,136888526.0,67390702.0,137970896.0,126396176.0,57773334.0,143172856.0
121304815.0,139731205.0,143603668.0,,137970896.0,121304815.0,130904787.0,139423505.0,142367002.0,131777275.0
140259567.0,146225925.0,127302618.0,,130904787.0,140259567.0,110423253.0,129528081.0,140305181.0,143051516.0
120915702.0,142549768.0,139223525.0,,110423253.0,120915702.0,142542550.0,131703059.0,143205149.0,145532163.0
73914103.0,108174606.0,,,142542550.0,143172856.0,65088218.0,57773334.0,139767084.0,146225925.0
143172856.0,126396176.0,,,65088218.0,131777275.0,63999202.0,142391575.0,123647286.0,142549768.0
139349243.0,139423505.0,,,63999202.0,143051516.0,89097954.0,142367002.0,69067066.0,108174606.0
131777275.0,129528081.0,,,89097954.0,145532163.0,139142885.0,140305181.0,139136827.0,126396176.0
143051516.0,57773334.0,,,139142885.0,139731205.0,121775337.0,143205149.0,56961852.0,139423505.0
145532163.0,142391575.0,,,121775337.0,146225925.0,140440810.0,123647286.0,145279804.0,129528081.0
146225925.0,142367002.0,,,140440810.0,142549768.0,130929385.0,141666616.0,139728715.0,131703059.0
142549768.0,140305181.0,,,130929385.0,108174606.0,63298797.0,69067066.0,124354379.0,57773334.0
108174606.0,143205149.0,,,63298797.0,139423505.0,67390702.0,56961852.0,62466892.0,142391575.0
126396176.0,139767084.0,,,67390702.0,129528081.0,121304815.0,145279804.0,143010641.0,142367002.0
139423505.0,140282673.0,,,121304815.0,131703059.0,140259567.0,138596671.0,143641950.0,143205149.0
129528081.0,123647286.0,,,140259567.0,145226000.0,120915702.0,124354379.0,139836259.0,139767084.0
131703059.0,141666616.0,,,120915702.0,57773334.0,73914103.0,62466892.0,143741287.0,123647286.0
145226000.0,69067066.0,,,73914103.0,142391575.0,143172856.0,146078549.0,102240619.0,141666616.0
57773334.0,139136827.0,,,143172856.0,142367002.0,139349243.0,143641950.0,129700204.0,69067066.0
142391575.0,145279804.0,,,139349243.0,140305181.0,131777275.0,139836259.0,132603762.0,139136827.0
142367002.0,138596671.0,,,131777275.0,143205149.0,143051516.0,143741287.0,139812213.0,56961852.0
140305181.0,140361028.0,,,143051516.0,139767084.0,145532163.0,129700204.0,67381109.0,145279804.0
143205149.0,124354379.0,,,145532163.0,140282673.0,139731205.0,139787633.0,143002499.0,138596671.0
139767084.0,62466892.0,,,146225925.0,123647286.0,146225925.0,132603762.0,143595911.0,140361028.0
140282673.0,143010641.0,,,142549768.0,141666616.0,108174606.0,139812213.0,145362824.0,139728715.0
123647286.0,146078549.0,,,108174606.0,69067066.0,126396176.0,142532993.0,135294350.0,124354379.0
141666616.0,143641950.0,,,126396176.0,139136827.0,139423505.0,143002499.0,107478418.0,62466892.0
69067066.0,139836259.0,,,139423505.0,56961852.0,129528081.0,143595911.0,145448340.0,143010641.0
139136827.0,143741287.0,,,129528081.0,145279804.0,131703059.0,145362824.0,143027610.0,146078549.0
145279804.0,102240619.0,,,131703059.0,138596671.0,145226000.0,130481549.0,143283103.0,143641950.0
139728715.0,139787633.0,,,57773334.0,139728715.0,57773334.0,107478418.0,142352808.0,143741287.0
124354379.0,132603762.0,,,142391575.0,124354379.0,142391575.0,145448340.0,121521577.0,102240619.0
62466892.0,60213625.0,,,142367002.0,62466892.0,142367002.0,143027610.0,69021608.0,129700204.0
143010641.0,142532993.0,,,140305181.0,146078549.0,140305181.0,143283103.0,145344431.0,139787633.0
146078549.0,143002499.0,,,143205149.0,143641950.0,143205149.0,69021608.0,130015163.0,132603762.0
143641950.0,143595911.0,,,139767084.0,139836259.0,139767084.0,121521577.0,145212355.0,139812213.0
139836259.0,145362824.0,,,140282673.0,143741287.0,140282673.0,130015163.0,135211471.0,60213625.0
143741287.0,135294350.0,,,123647286.0,102240619.0,123647286.0,145212355.0,132753362.0,142532993.0
102240619.0,107478418.0,,,141666616.0,132603762.0,141666616.0,142431694.0,127594452.0,143002499.0
129700204.0,145448340.0,,,69067066.0,139812213.0,139136827.0,135211471.0,142520278.0,143595911.0
139787633.0,143027610.0,,,139136827.0,67381109.0,56961852.0,139350481.0,127302618.0,145362824.0
132603762.0,64781213.0,,,56961852.0,60213625.0,145279804.0,132753362.0,121834985.0,130481549.0
139812213.0,143283103.0,,,145279804.0,142532993.0,138596671.0,127302618.0,139770349.0,135294350.0
60213625.0,140967336.0,,,138596671.0,143002499.0,140361028.0,139223525.0,71798768.0,107478418.0
142532993.0,121521577.0,,,140361028.0,143595911.0,139728715.0,135304166.0,128602111.0,145448340.0
143002499.0,142352808.0,,,124354379.0,145362824.0,124354379.0,121834985.0,,143101338.0
145362824.0,69021608.0,,,62466892.0,130481549.0,62466892.0,141191662.0,,143027610.0
130481549.0,145344431.0,,,143010641.0,135294350.0,143010641.0,146200558.0,,143283103.0
135294350.0,145290163.0,,,146078549.0,107478418.0,143641950.0,71798768.0,,140967336.0
107478418.0,132226999.0,,,143641950.0,145448340.0,139836259.0,128006643.0,,121521577.0
145448340.0,130015163.0,,,139836259.0,143101338.0,143741287.0,128602111.0,,142352808.0
143101338.0,145212355.0,,,143741287.0,143027610.0,102240619.0,,,69021608.0
143027610.0,142431694.0,,,102240619.0,64781213.0,129700204.0,,,145344431.0
143283103.0,135211471.0,,,129700204.0,143283103.0,139787633.0,,,132226999.0
140967336.0,142290384.0,,,139787633.0,121521577.0,132603762.0,,,130015163.0
121521577.0,132753362.0,,,132603762.0,69021608.0,139812213.0,,,145212355.0
69021608.0,127594452.0,,,139812213.0,145344431.0,67381109.0,,,142431694.0
145344431.0,142520278.0,,,67381109.0,145290163.0,60213625.0,,,135211471.0
145290163.0,143603668.0,,,60213625.0,132226999.0,142532993.0,,,142290384.0
132226999.0,127302618.0,,,142532993.0,145212355.0,143002499.0,,,139350481.0
130015163.0,139223525.0,,,143595911.0,142431694.0,145362824.0,,,132753362.0
142431694.0,121834985.0,,,145362824.0,135211471.0,130481549.0,,,139160532.0
135211471.0,143114219.0,,,130481549.0,142290384.0,107478418.0,,,127594452.0
142290384.0,141191662.0,,,135294350.0,132753362.0,145448340.0,,,142520278.0
139350481.0,146200558.0,,,107478418.0,142520278.0,143101338.0,,,143603668.0
139160532.0,71798768.0,,,145448340.0,127302618.0,143027610.0,,,127302618.0
127594452.0,,,,143101338.0,139223525.0,64781213.0,,,139223525.0
142520278.0,,,,143027610.0,135304166.0,143283103.0,,,135304166.0
127302618.0,,,,64781213.0,121834985.0,140967336.0,,,121834985.0
135304166.0,,,,143283103.0,143114219.0,121521577.0,,,143114219.0
121834985.0,,,,140967336.0,139770349.0,142352808.0,,,139770349.0
143114219.0,,,,121521577.0,141191662.0,69021608.0,,,146200558.0
139770349.0,,,,142352808.0,71798768.0,145344431.0,,,71798768.0
141191662.0,,,,69021608.0,,145290163.0,,,128006643.0
146200558.0,,,,145344431.0,,132226999.0,,,128602111.0
71798768.0,,,,145290163.0,,130015163.0,,,
,,,,132226999.0,,142431694.0,,,
,,,,130015163.0,,135211471.0,,,
,,,,145212355.0,,142290384.0,,,
,,,,142431694.0,,139350481.0,,,
,,,,135211471.0,,132753362.0,,,
,,,,142290384.0,,139160532.0,,,
,,,,132753362.0,,127594452.0,,,
,,,,139160532.0,,142520278.0,,,
,,,,127594452.0,,143603668.0,,,
,,,,143603668.0,,127302618.0,,,
,,,,127302618.0,,135304166.0,,,
,,,,139223525.0,,121834985.0,,,
,,,,135304166.0,,143114219.0,,,
,,,,121834985.0,,139770349.0,,,
,,,,143114219.0,,141191662.0,,,
,,,,139770349.0,,146200558.0,,,
,,,,141191662.0,,71798768.0,,,
,,,,146200558.0,,128006643.0,,,
,,,,71798768.0,,128602111.0,,,
,,,,128006643.0,,,,,
,,,,128602111.0,,,,,
