customer_id,order_id
-253488,2
-252748,12
-252448,29
-251088,9
-250139,6
-250014,1
-249778,5
-249364,3
-245117,37
-244479,6
-244230,8
-242920,7
-242707,5
-242268,3
-241248,4
-240950,5
-237888,6
-231105,3
-226177,31
-222076,5
-221598,1
-221425,8
-221342,17
-220349,1
-219951,3
-217209,1
-215722,1
-212500,2
-212399,23
-210827,13
-210315,9
-209432,8
-207490,6
-203638,3
-201691,1
-201677,11
-201401,6
-201282,3
-200051,12
10412451,16
10425436,10
12605508,10
12940743,1
14448595,3
15114848,4
15116325,24
15225356,15
15234711,5
15275391,13
15297569,6
15316673,8
15332447,4
15332735,4
15483957,1
15510035,4
15541775,4
15549222,12
15585451,3
15595304,4
15627263,8
15773117,6
16180889,8
16401477,1
16505838,4
16510041,5
16530592,6
16550625,8
16812029,30
16819238,7
16825009,13
16832734,13
16847297,2
16891000,7
17128632,9
17456227,6
17460273,4
17605702,7
17738028,10
17904451,13
17919657,7
19104180,2
19782612,6
20050240,6
20221225,6
20468769,1
21025242,3
21806108,9
21807046,7
22118513,20
22289040,1
22318706,5
22781558,13
22867794,6
23081145,4
23586750,11
23619626,8
24015360,26
24080457,11
24169445,8
24263545,11
30346656,10
30646760,10
30989373,10
31844911,11
31845324,7
31917122,10
31936679,13
32401131,14
34442239,23
35027248,5
35441735,1
35868237,4
36269217,8
36428670,7
36680230,5
37036613,4
37367897,5
37494721,4
37913046,6
37924222,6
38415954,7
38538007,2
39710004,6
39719611,1
39840191,7
40094870,2
40198657,13
41054624,1
41464991,9
41724488,1
42144147,8
42258604,8
42260807,16
42493971,1
42509159,3
42525950,16
42707041,10
42709125,6
42712647,1
43006393,2
43102142,4
43113262,6
43206916,4
43219088,8
43242030,15
43330609,4
43811470,8
44565662,26
44589642,7
45060687,5
45062039,10
45167237,3
45181914,7
45618914,6
45639900,20
45724658,12
46244480,7
46664215,5
46898850,16
46920067,7
47215347,13
47307438,3
47581558,3
47585990,5
47681647,8
47692300,1
47783338,9
47884783,29
47900373,2
47901699,6
47902534,6
48262808,11
48360775,8
48458903,11
48748455,8
49012931,2
49105744,6
49115916,2
49120291,17
49208938,5
49214829,3
49307637,10
49403701,5
49564465,14
49666820,4
49671336,12
49763228,5
49768796,11
49865616,6
49879611,9
50444407,7
50549151,1
50551508,10
50659212,1
50737900,5
50990992,1
51109841,2
51113673,4
51211026,6
51302377,51
51312525,2
51396888,17
51400881,3
51667453,9
51782861,5
51981425,3
52248292,11
52368624,10
52578448,8
52582314,7
52687044,4
52777924,2
52895893,7
53139411,3
53149171,3
53268525,1
53369757,13
53380958,2
53790157,12
53799640,9
53806759,3
53927050,2
54147580,1
54165580,9
54169473,24
54479393,8
54506041,6
54686531,1
54771743,9
54780608,1
54783679,5
54786697,1
54790108,2
54791800,14
54893120,5
54901931,12
54929041,8
55347822,11
55367301,36
55459310,15
55477864,22
55592017,7
55592844,14
55598378,11
55700285,10
55831758,5
56260841,1
56374352,8
56377111,9
56388860,14
57331447,4
57437995,12
57451269,4
57800766,9
58000259,27
58006498,11
58162259,12
58268955,9
58592623,4
58734446,4
58735234,4
59120725,5
59912780,7
59915943,5
60192469,4
60306456,11
60530430,24
60545088,3
60777850,5
60786724,10
60897938,13
61658051,3
61673092,9
61676379,7
61695586,13
61829082,1
62193059,1
62344955,11
62345515,8
62435195,5
62590129,9
62590133,6
62755159,15
62914261,8
63166574,5
63299072,13
63303689,8
63317138,17
63330964,6
63624548,3
63629099,2
63641659,2
63801872,11
63970100,12
64011629,4
64212901,3
64778659,8
64836186,12
64841258,7
64988656,8
65234245,2
65436698,5
65630931,7
65635087,4
65643948,2
65654496,5
65967328,13
66186671,15
66363230,2
66369184,13
66656477,11
66838754,8
66850867,10
67369306,40
67614392,3
67815010,6
68016596,10
68046034,2
68241129,3
68261400,1
68262620,5
68433152,3
68796751,9
69066663,2
69245621,5
69273311,4
69284126,16
69335747,3
69508547,10
69608152,3
69655865,7
69878703,4
70099329,20
71788089,8
71857991,13
71947373,5
72138131,12
72558308,17
72632773,3
72665337,4
72782769,19
73075252,2
73139502,6
73478023,9
74011424,8
74024404,1
74044750,11
74331201,7
74355668,1
74383325,6
74658686,14
74662079,8
74670393,2
74675963,10
75545995,14
75964649,3
76302738,18
76364825,4
76374337,1
76730318,5
76814831,2
77797137,6
78045148,11
78562291,4
78614241,4
78662768,4
78667752,9
78777002,8
79073713,3
79518637,13
79527054,9
79566178,8
79569984,6
79864628,8
80501775,10
80598550,6
80619317,4
80631977,3
81017777,14
81053140,18
81429700,1
81902776,2
82251127,8
82259529,2
82272601,4
82467600,7
82658448,9
82679164,1
82747738,2
83387154,17
83662114,1
83675416,1
83693906,9
84437111,6
84456948,15
84483366,7
84496146,1
84523873,3
84546372,13
84863735,4
84950691,3
84958825,2
84969591,13
85299479,14
86007015,4
86312844,4
86320954,5
86738584,19
86743246,9
86791483,13
86793752,6
86910072,7
87187515,5
87215380,11
87604127,16
87665603,15
87779991,3
88612523,2
88635655,3
89111918,2
89154032,1
89586727,5
90996495,2
91704253,5
91711115,17
91769492,9
91818414,9
92045850,8
92067193,6
92070281,4
94392839,8
95256586,10
95267094,2
95592399,4
95964129,10
96038611,15
96082057,6
97389942,8
97880315,1
97889739,17
97907843,7
97935194,9
98316997,12
98331499,1
98367579,9
98666714,16
98780638,3
99095881,4
99102219,7
99771087,11
99810298,14
99863378,14
100223042,5
100325266,7
100613222,4
100641861,1
101142297,4
101526548,3
101916892,8
101981608,2
102635569,7
102716615,9
103122008,5
103567497,3
103925232,8
104256317,5
104410715,4
104456326,4
106341641,3
106416146,18
106456474,8
106925380,3
107289749,1
107302988,3
107364446,1
107442996,7
107447512,3
108079405,5
108351330,7
108414758,7
108866982,4
109434241,2
109486652,1
109901144,6
109911234,7
110138066,3
110396430,2
110518288,1
111687040,12
111729482,5
111750677,6
111923464,5
112445016,4
112891347,3
117432032,6
117874708,3
117934575,4
118528501,4
118591879,1
119662109,1
119721154,1
120695543,1
120762252,4
121852121,3
121982798,2
123125034,3
123679682,1
123811607,1
124928500,2
125042487,1
125540271,1
126232174,2
127350814,2
127961280,2
129131265,1
129133197,3
129589685,1
